,y,a
939,2015-05-23,348131
940,2015-05-24,348436
941,2015-05-25,348821
942,2015-05-26,349183
943,2015-05-27,349819
944,2015-05-28,350295
945,2015-05-29,350688
946,2015-05-30,351156
947,2015-05-31,351556
948,2015-06-01,351936
949,2015-06-02,352506
950,2015-06-03,352859
951,2015-06-04,353166
952,2015-06-05,353498
953,2015-06-06,353959
954,2015-06-07,354378
955,2015-06-08,354799
956,2015-06-09,355159
957,2015-06-10,355617
958,2015-06-11,356084
959,2015-06-12,356388
960,2015-06-13,356664
961,2015-06-14,357061
962,2015-06-15,357321
963,2015-06-16,357597
964,2015-06-17,357911
965,2015-06-18,358168
966,2015-06-19,358390
967,2015-06-20,358672
968,2015-06-21,358957
969,2015-06-22,359216
970,2015-06-23,359494
971,2015-06-24,359794
972,2015-06-25,360064
973,2015-06-26,360341
974,2015-06-27,360598
975,2015-06-28,360946
976,2015-06-29,361227
977,2015-06-30,361638
978,2015-07-01,362026
979,2015-07-02,362411
980,2015-07-03,362757
981,2015-07-04,363093
982,2015-07-05,363814
983,2015-07-06,364254
984,2015-07-07,364689
985,2015-07-08,365096
986,2015-07-09,365386
987,2015-07-10,365756
988,2015-07-11,366147
989,2015-07-12,366587
990,2015-07-13,366975
991,2015-07-14,367354
992,2015-07-15,367680
993,2015-07-16,368060
994,2015-07-17,368334
995,2015-07-18,368617
996,2015-07-19,369001
997,2015-07-20,369371
998,2015-07-21,369751
999,2015-07-22,370311
1000,2015-07-23,370703
1001,2015-07-24,371075
1002,2015-07-25,371357
1003,2015-07-26,371707
1004,2015-07-27,372037
1005,2015-07-28,372393
1006,2015-07-29,372828
1007,2015-07-30,373099
1008,2015-07-31,373320
1009,2015-08-01,373530
1010,2015-08-02,373878
1011,2015-08-03,374163
1012,2015-08-04,374463
1013,2015-08-05,374799
1014,2015-08-06,375148
1015,2015-08-07,375435
1016,2015-08-08,375793
1017,2015-08-09,376259
1018,2015-08-10,376575
1019,2015-08-11,376962
1020,2015-08-12,377339
1021,2015-08-13,377635
1022,2015-08-14,377870
1023,2015-08-15,378187
1024,2015-08-16,378581
1025,2015-08-17,378925
1026,2015-08-18,379306
1027,2015-08-19,379687
1028,2015-08-20,379972
1029,2015-08-21,380199
1030,2015-08-22,380477
1031,2015-08-23,380844
1032,2015-08-24,381183
1033,2015-08-25,381483
1034,2015-08-26,381730
1035,2015-08-27,381999
1036,2015-08-28,382242
1037,2015-08-29,382583
1038,2015-08-30,382967
1039,2015-08-31,383367
1040,2015-09-01,383751
1041,2015-09-02,384020
1042,2015-09-03,384289
1043,2015-09-04,384558
1044,2015-09-05,384740
1045,2015-09-06,385034
1046,2015-09-07,385247
1047,2015-09-08,385537
1048,2015-09-09,385757
1049,2015-09-10,385925
1050,2015-09-11,386131
1051,2015-09-12,386514
1052,2015-09-13,386855
1053,2015-09-14,387122
1054,2015-09-15,387472
1055,2015-09-16,387854
1056,2015-09-17,388148
1057,2015-09-18,388327
1058,2015-09-19,388605
1059,2015-09-20,388898
1060,2015-09-21,389128
