,y,a
839,2015-02-14,219
840,2015-02-15,376
841,2015-02-16,308
842,2015-02-17,364
843,2015-02-18,314
844,2015-02-19,316
845,2015-02-20,271
846,2015-02-21,295
847,2015-02-22,446
848,2015-02-23,353
849,2015-02-24,438
850,2015-02-25,384
851,2015-02-26,325
852,2015-02-27,194
853,2015-02-28,242
854,2015-03-01,471
855,2015-03-02,330
856,2015-03-03,298
857,2015-03-04,297
858,2015-03-05,282
859,2015-03-06,188
860,2015-03-07,237
861,2015-03-07,329
862,2015-03-08,165
863,2015-03-09,166
864,2015-03-10,343
865,2015-03-11,554
866,2015-03-12,374
867,2015-03-13,270
868,2015-03-14,333
869,2015-03-15,437
870,2015-03-16,330
871,2015-03-17,484
872,2015-03-18,349
873,2015-03-19,319
874,2015-03-20,272
875,2015-03-21,274
876,2015-03-22,653
877,2015-03-23,435
878,2015-03-24,325
879,2015-03-25,314
880,2015-03-26,272
881,2015-03-27,261
882,2015-03-28,303
883,2015-03-29,360
884,2015-03-30,261
885,2015-03-31,293
886,2015-04-01,251
887,2015-04-02,258
888,2015-04-03,211
889,2015-04-04,573
890,2015-04-05,421
891,2015-04-06,347
892,2015-04-07,325
893,2015-04-08,332
894,2015-04-09,258
895,2015-04-10,265
896,2015-04-11,239
897,2015-04-12,385
898,2015-04-13,276
899,2015-04-14,290
900,2015-04-15,411
901,2015-04-16,292
902,2015-04-17,210
903,2015-04-18,271
904,2015-04-19,305
905,2015-04-20,274
906,2015-04-21,340
907,2015-04-22,344
908,2015-04-23,262
909,2015-04-24,257
910,2015-04-25,263
911,2015-04-26,340
912,2015-04-27,325
913,2015-04-28,308
914,2015-04-29,323
915,2015-04-30,220
916,2015-05-01,155
917,2015-05-02,218
918,2015-05-03,252
919,2015-05-04,304
920,2015-05-05,316
921,2015-05-06,636
922,2015-05-07,452
923,2015-05-08,285
924,2015-05-09,272
925,2015-05-10,285
926,2015-05-11,274
927,2015-05-12,326
928,2015-05-13,442
929,2015-05-14,318
930,2015-05-15,250
931,2015-05-16,292
932,2015-05-17,418
933,2015-05-18,351
934,2015-05-19,318
935,2015-05-20,243
936,2015-05-21,213
937,2015-05-22,176
938,2015-05-23,165
939,2015-05-24,305
940,2015-05-25,385
941,2015-05-26,362
942,2015-05-27,636
943,2015-05-28,476
944,2015-05-29,393
945,2015-05-30,468
946,2015-05-31,400
947,2015-06-01,380
948,2015-06-02,570
949,2015-06-03,353
950,2015-06-04,307
951,2015-06-05,332
952,2015-06-06,461
953,2015-06-07,419
954,2015-06-08,421
955,2015-06-09,360
956,2015-06-10,458
957,2015-06-11,467
958,2015-06-12,304
959,2015-06-13,276
960,2015-06-14,397
961,2015-06-15,260
962,2015-06-16,276
963,2015-06-17,314
964,2015-06-18,257
965,2015-06-19,222
966,2015-06-20,282
967,2015-06-21,285
968,2015-06-22,259
969,2015-06-23,278
970,2015-06-24,300
971,2015-06-25,270
972,2015-06-26,277
973,2015-06-27,257
974,2015-06-28,348
975,2015-06-29,281
976,2015-06-30,411
977,2015-07-01,388
978,2015-07-02,385
979,2015-07-03,346
980,2015-07-04,336
981,2015-07-05,721
982,2015-07-06,440
983,2015-07-07,435
984,2015-07-08,407
985,2015-07-09,290
986,2015-07-10,370
987,2015-07-11,391
988,2015-07-12,440
989,2015-07-13,388
990,2015-07-14,379
991,2015-07-15,326
992,2015-07-16,380
993,2015-07-17,274
994,2015-07-18,283
995,2015-07-19,384
996,2015-07-20,370
997,2015-07-21,380
998,2015-07-22,560
999,2015-07-23,392
1000,2015-07-24,372
1001,2015-07-25,282
1002,2015-07-26,350
1003,2015-07-27,330
1004,2015-07-28,356
1005,2015-07-29,435
1006,2015-07-30,271
1007,2015-07-31,221
1008,2015-08-01,210
1009,2015-08-02,348
1010,2015-08-03,285
